timestamp,open,high,low,close,volume
2021-01-01 00:00:00,28999.63,29543.93,28774.64,29345.63,1620.95163172
2021-01-01 04:00:00,29351.85,29458.27,28896.66,29173.17,1312.1774458
2021-01-01 08:00:00,29179.01,29490.0,28947.7,29390.34,1202.13861209
2021-01-01 12:00:00,29390.34,29700.0,29100.0,29261.96,1781.90825078
2021-01-01 16:00:00,29261.96,29436.33,28720.0,29131.54,1745.92087225
2021-01-01 20:00:00,29108.67,29434.27,28947.7,29402.64,1118.36874192
2021-01-02 00:00:00,29410.77,29574.11,29050.0,29432.47,1095.19589307
2021-01-02 04:00:00,29435.0,29895.0,29310.5,29834.26,1284.44342708
2021-01-02 08:00:00,29829.59,29990.0,29543.93,29822.42,1342.35585191
2021-01-02 12:00:00,29822.42,31886.42,29800.0,31782.96,4606.88014869
2021-01-02 16:00:00,31758.0,33333.0,31757.37,33080.5,4243.89828361
2021-01-02 20:00:00,33082.29,33112.26,30000.0,32216.53,5295.10529414
2021-01-03 00:00:00,32216.51,32911.22,31977.45,32611.55,983.06455913
2021-01-03 04:00:00,32612.19,34800.0,32479.91,34484.5,2858.00407214
2021-01-03 08:00:00,34495.37,34652.95,33428.35,34447.28,2125.7864385
2021-01-03 12:00:00,34425.03,34622.67,32793.03,33557.89,2463.2346554
2021-01-03 16:00:00,33549.05,33855.83,32000.0,32775.76,3918.88419409
2021-01-03 20:00:00,32744.07,33872.26,32720.53,33097.83,1811.60736084
2021-01-04 00:00:00,33068.83,33629.4,32450.97,33593.17,1341.8960664
2021-01-04 04:00:00,33590.85,33669.76,31748.18,32092.71,2526.37075027
2021-01-04 08:00:00,32111.77,32557.9,27734.0,30796.34,9457.60695311
2021-01-04 12:00:00,30796.48,32246.97,30461.85,31792.05,4324.14625237
2021-01-04 16:00:00,31785.85,31939.12,30600.01,31678.62,3204.87008226
2021-01-04 20:00:00,31686.83,32054.24,30884.42,32005.88,1592.04990107
2021-01-05 00:00:00,32054.23,32874.39,31182.16,31183.83,2186.62626663
2021-01-05 04:00:00,31188.58,31558.37,29936.26,30838.53,2971.65658999
2021-01-05 08:00:00,30820.66,31817.0,30820.66,31810.58,1558.38975708
2021-01-05 12:00:00,31820.0,32440.98,31153.24,32156.58,2090.63635159
2021-01-05 16:00:00,32169.78,34297.31,31830.89,33809.17,3264.7487092
2021-01-05 20:00:00,33791.11,34500.0,33468.46,34039.05,2734.4388327
2021-01-06 00:00:00,34081.24,34239.84,33348.27,34222.39,2094.74349043
2021-01-06 04:00:00,34209.27,35879.35,34202.12,34808.72,3419.19515059
2021-01-06 08:00:00,34792.26,35366.69,33710.16,35040.81,3458.89385022
2021-01-06 12:00:00,35040.81,35183.92,34174.11,34664.93,2816.49927855
2021-01-06 16:00:00,34672.69,35850.0,34457.16,34933.57,3158.75971688
2021-01-06 20:00:00,34971.34,37050.83,34341.0,36849.94,4271.19640305
2021-01-07 00:00:00,36875.96,37785.04,36493.37,37560.18,3104.0226182
2021-01-07 04:00:00,37560.25,37800.0,36778.98,36909.9,1765.90999907
2021-01-07 08:00:00,36903.35,37988.7,36327.5,37891.04,2438.48066149
2021-01-07 12:00:00,37891.04,39000.0,37589.46,39000.0,3737.82041797
2021-01-07 16:00:00,39000.0,40402.46,36388.0,39100.0,8980.78328394
2021-01-07 20:00:00,39100.0,39995.51,38400.0,39510.49,3075.24422796
2021-01-08 00:00:00,39510.59,39754.82,36618.36,38419.28,3266.92664385
2021-01-08 04:00:00,38395.66,39151.0,37575.0,38978.56,1498.95495848
2021-01-08 08:00:00,38952.09,41530.0,38269.7,41337.96,4069.53725947
2021-01-08 12:00:00,41335.89,42000.0,39840.0,40901.27,5194.10077637
2021-01-08 16:00:00,40923.24,41661.05,39825.18,40376.7,3184.12605079
2021-01-08 20:00:00,40349.01,40988.11,38677.22,40667.07,4970.30605337
2021-01-09 00:00:00,40682.76,41008.81,39500.0,40252.21,2122.89483111
2021-01-09 04:00:00,40252.21,40510.58,38788.16,39651.56,1204.85970672
2021-01-09 08:00:00,39680.32,41270.66,39342.18,40625.26,1696.27768225
